"","PotNum","Scenario","Nutrients","Taxon","Symphytum","Silene","Urtica","Geranium","Geum","All_Natives","Fallopia","Total","Pct_Fallopia","combine"
"1",1,"low","low","japon",9.81,36.36,16.08,4.68,0.12,67.05,0.01,67.06,0.01,c(46.17, 38.29, 38.68, 22.87, 33.05, 30.71, 49.46, 24.33, 40.92, 36.39, 40.05, 30.03, 31.01, 34.42, 31.12, 39.63, 36.74, 23.42, 40.67, 33.86, 41.9, 31.36, 29.37, 31.37, 36.99)
"2",2,"low","low","japon",8.64,29.65,5.59,5.75,0.55,50.18,0.04,50.22,0.08,c(46.17, 38.29, 38.68, 22.87, 33.05, 30.71, 49.46, 24.33, 40.92, 36.39, 40.05, 30.03, 31.01, 34.42, 31.12, 39.63, 36.74, 23.42, 40.67, 33.86, 41.9, 31.36, 29.37, 31.37, 36.99)
"3",3,"low","low","japon",2.65,36.03,17.09,5.13,0.09,60.99,0.09,61.08,0.15,c(46.17, 38.29, 38.68, 22.87, 33.05, 30.71, 49.46, 24.33, 40.92, 36.39, 40.05, 30.03, 31.01, 34.42, 31.12, 39.63, 36.74, 23.42, 40.67, 33.86, 41.9, 31.36, 29.37, 31.37, 36.99)
"4",5,"low","low","japon",1.44,21.43,12.39,5.37,0.31,40.94,0.77,41.71,1.85,c(46.17, 38.29, 38.68, 22.87, 33.05, 30.71, 49.46, 24.33, 40.92, 36.39, 40.05, 30.03, 31.01, 34.42, 31.12, 39.63, 36.74, 23.42, 40.67, 33.86, 41.9, 31.36, 29.37, 31.37, 36.99)
"5",6,"low","low","japon",9.15,23.9,5.19,0,0.17,38.41,3.4,41.81,8.13,c(46.17, 38.29, 38.68, 22.87, 33.05, 30.71, 49.46, 24.33, 40.92, 36.39, 40.05, 30.03, 31.01, 34.42, 31.12, 39.63, 36.74, 23.42, 40.67, 33.86, 41.9, 31.36, 29.37, 31.37, 36.99)
"6",7,"low","low","japon",6.31,24.4,7,9.05,0.97,47.73,0.54,48.27,1.12,c(46.17, 38.29, 38.68, 22.87, 33.05, 30.71, 49.46, 24.33, 40.92, 36.39, 40.05, 30.03, 31.01, 34.42, 31.12, 39.63, 36.74, 23.42, 40.67, 33.86, 41.9, 31.36, 29.37, 31.37, 36.99)
"7",8,"low","low","japon",19.53,29.93,0,3.51,0.4,53.37,2.05,55.42,3.7,c(46.17, 38.29, 38.68, 22.87, 33.05, 30.71, 49.46, 24.33, 40.92, 36.39, 40.05, 30.03, 31.01, 34.42, 31.12, 39.63, 36.74, 23.42, 40.67, 33.86, 41.9, 31.36, 29.37, 31.37, 36.99)
"8",9,"low","low","japon",6.08,18.25,8.44,9.64,0.01,42.42,0.26,42.68,0.61,c(46.17, 38.29, 38.68, 22.87, 33.05, 30.71, 49.46, 24.33, 40.92, 36.39, 40.05, 30.03, 31.01, 34.42, 31.12, 39.63, 36.74, 23.42, 40.67, 33.86, 41.9, 31.36, 29.37, 31.37, 36.99)
"9",10,"low","low","japon",5.69,35.23,4.84,7.3,0.47,53.53,0,53.53,0,c(46.17, 38.29, 38.68, 22.87, 33.05, 30.71, 49.46, 24.33, 40.92, 36.39, 40.05, 30.03, 31.01, 34.42, 31.12, 39.63, 36.74, 23.42, 40.67, 33.86, 41.9, 31.36, 29.37, 31.37, 36.99)
"10",11,"low","low","japon",15.58,20.81,2.81,6.36,0.33,45.89,0,45.89,0,c(46.17, 38.29, 38.68, 22.87, 33.05, 30.71, 49.46, 24.33, 40.92, 36.39, 40.05, 30.03, 31.01, 34.42, 31.12, 39.63, 36.74, 23.42, 40.67, 33.86, 41.9, 31.36, 29.37, 31.37, 36.99)
"11",12,"low","low","japon",11.38,28.67,9.79,5.04,0.56,55.44,3.58,59.02,6.07,c(46.17, 38.29, 38.68, 22.87, 33.05, 30.71, 49.46, 24.33, 40.92, 36.39, 40.05, 30.03, 31.01, 34.42, 31.12, 39.63, 36.74, 23.42, 40.67, 33.86, 41.9, 31.36, 29.37, 31.37, 36.99)
"12",14,"low","low","japon",2.92,27.11,6.25,9.5,0.05,45.83,11.83,57.66,20.52,c(46.17, 38.29, 38.68, 22.87, 33.05, 30.71, 49.46, 24.33, 40.92, 36.39, 40.05, 30.03, 31.01, 34.42, 31.12, 39.63, 36.74, 23.42, 40.67, 33.86, 41.9, 31.36, 29.37, 31.37, 36.99)
"13",16,"low","low","bohem",12.99,18.02,9.51,7.52,0.36,48.4,0.58,48.98,1.18,c(46.17, 38.29, 38.68, 22.87, 33.05, 30.71, 49.46, 24.33, 40.92, 36.39, 40.05, 30.03, 31.01, 34.42, 31.12, 39.63, 36.74, 23.42, 40.67, 33.86, 41.9, 31.36, 29.37, 31.37, 36.99)
"14",17,"low","low","bohem",4.9,29.52,1.36,0,0.19,35.97,0,35.97,0,c(46.17, 38.29, 38.68, 22.87, 33.05, 30.71, 49.46, 24.33, 40.92, 36.39, 40.05, 30.03, 31.01, 34.42, 31.12, 39.63, 36.74, 23.42, 40.67, 33.86, 41.9, 31.36, 29.37, 31.37, 36.99)
"15",18,"low","low","bohem",3.51,27.61,8.14,3.81,0.21,43.28,0,43.28,0,c(46.17, 38.29, 38.68, 22.87, 33.05, 30.71, 49.46, 24.33, 40.92, 36.39, 40.05, 30.03, 31.01, 34.42, 31.12, 39.63, 36.74, 23.42, 40.67, 33.86, 41.9, 31.36, 29.37, 31.37, 36.99)
"16",19,"low","low","bohem",7.49,32.14,5.7,6.93,0.01,52.27,0,52.27,0,c(46.17, 38.29, 38.68, 22.87, 33.05, 30.71, 49.46, 24.33, 40.92, 36.39, 40.05, 30.03, 31.01, 34.42, 31.12, 39.63, 36.74, 23.42, 40.67, 33.86, 41.9, 31.36, 29.37, 31.37, 36.99)
"17",20,"low","low","bohem",11.16,25.58,1.8,5.1,0.07,43.71,2.21,45.92,4.81,c(46.17, 38.29, 38.68, 22.87, 33.05, 30.71, 49.46, 24.33, 40.92, 36.39, 40.05, 30.03, 31.01, 34.42, 31.12, 39.63, 36.74, 23.42, 40.67, 33.86, 41.9, 31.36, 29.37, 31.37, 36.99)
"18",22,"low","low","bohem",0.76,22.66,9.85,10.6,0.74,44.61,0,44.61,0,c(46.17, 38.29, 38.68, 22.87, 33.05, 30.71, 49.46, 24.33, 40.92, 36.39, 40.05, 30.03, 31.01, 34.42, 31.12, 39.63, 36.74, 23.42, 40.67, 33.86, 41.9, 31.36, 29.37, 31.37, 36.99)
